Nr,P1,P2,P3,P4
1,96,403,410,731
2,282,451,431,702
3,144,560,108,470
4,530,485,454,176
5,744,435,429,721
6,163,458,384,244
7,176,392,244,599
8,7,522,329,685
9,944,546,104,479
10,684,446,343,660
11,259,616,120,62
12,425,518,326,362
13,483,463,17,381
14,557,572,415,178
15,91,559,275,498
16,510,351,376,690
17,851,552,79,556
18,540,485,160,617
19,593,520,134,233
20,958,470,348,662
21,696,582,355,571
22,148,482,487,22
23,905,541,423,75
24,218,617,443,244
25,339,524,473,53
26,290,536,429,555
27,324,429,436,333
28,644,568,27,353
29,482,543,215,654
30,451,628,200,270
31,135,382,39,328
32,394,641,185,491
33,614,546,326,150
34,200,608,364,201
35,266,477,381,578
36,934,508,360,357
37,491,520,420,462
38,720,391,313,612
39,762,491,200,497
40,671,407,473,240
41,550,483,222,729
42,807,471,447,87
43,116,427,189,689
44,238,348,62,295
45,3,399,69,142
46,267,426,246,618
47,638,570,398,252
48,228,486,487,216
49,942,577,402,703
50,919,567,170,249
51,123,725,352,69
52,700,556,458,708
53,715,395,220,98
54,490,542,185,97
55,294,540,426,573
56,638,459,493,359
57,469,504,195,441
58,526,435,301,220
59,675,452,275,333
60,628,414,499,283
61,799,483,83,70
62,63,506,210,288
63,748,533,298,648
64,425,418,216,635
65,55,550,466,92
66,216,581,463,459
67,567,499,278,131
68,748,515,322,149
69,57,393,176,72
70,37,378,334,344
71,225,457,336,79
72,606,567,135,188
73,575,598,291,626
74,943,532,443,709
75,945,599,341,348
76,675,458,329,93
77,225,497,370,462
78,801,456,286,347
79,890,501,390,242
80,774,596,284,306
81,94,531,261,484
82,243,449,406,750
83,178,503,102,196
84,290,511,166,410
85,756,501,456,121
86,143,398,196,657
87,996,553,337,673
88,476,506,300,441
89,82,522,387,152
90,251,405,89,104
91,177,542,347,339
92,896,545,263,283
93,640,477,500,575
94,870,640,426,296
95,51,630,108,716
96,955,521,390,622
97,296,680,256,440
98,114,400,370,211
99,900,420,267,458
100,352,556,218,220
101,80,529,336,540
102,723,508,343,243
103,912,385,273,289
104,516,514,207,507
105,264,448,154,482
106,642,462,306,213
107,49,416,322,634
108,562,501,336,705
109,91,550,488,405
110,546,463,285,448
111,907,278,194,145
112,62,635,214,455
113,579,557,157,451
114,307,494,193,126
115,221,422,190,553
116,1000,452,163,336
117,340,613,424,216
118,942,511,421,215
119,384,383,195,209
120,579,512,360,182
121,425,419,120,414
122,926,460,256,743
123,8,615,435,690
124,175,476,244,291
125,783,530,168,252
126,890,473,298,239
127,304,364,473,500
128,622,572,357,494
129,37,469,148,157
130,631,499,448,740
131,808,469,414,709
132,191,588,255,409
133,939,508,149,200
134,29,362,182,524
135,768,555,272,234
136,58,565,176,290
137,40,429,163,249
138,972,466,239,141
139,341,315,408,729
140,823,443,486,680
141,832,522,432,185
142,601,522,491,152
143,586,588,418,414
144,630,584,377,175
145,842,544,391,424
146,255,596,398,392
147,131,482,176,406
148,757,623,257,185
149,958,485,434,726
150,273,399,202,194
151,301,552,214,409
152,108,600,288,249
153,549,486,158,340
154,455,529,487,173
155,460,600,361,422
156,914,517,410,193
157,806,429,459,312
158,294,501,245,389
159,261,436,240,293
160,74,568,368,576
161,60,465,434,302
162,310,525,235,479
163,543,576,291,589
164,14,455,379,524
165,776,408,497,705
166,727,437,431,635
167,639,439,227,360
168,617,480,352,430
169,317,484,370,487
170,434,517,336,426
171,921,557,200,620
172,789,555,186,428
173,550,526,176,290
174,728,554,250,628
175,528,577,498,649
176,477,357,369,455
177,874,458,372,415
178,556,643,347,575
179,347,487,296,478
180,506,630,245,505
181,227,650,293,725
182,82,492,303,320
183,483,431,312,307
184,430,554,196,236
185,248,461,191,352
186,229,465,424,658
187,649,776,336,541
188,714,673,345,399
189,801,483,329,728
190,478,441,488,384
191,144,530,498,700
192,933,532,224,355
193,722,424,302,703
194,606,536,465,221
195,329,551,316,263
196,369,514,324,520
197,787,458,375,319
198,250,496,416,424
199,817,505,382,441
200,331,497,456,662
201,566,509,454,420
202,130,305,475,536
203,907,439,463,296
204,752,434,337,477
205,74,489,337,402
206,541,488,351,703
207,142,408,492,225
208,152,419,228,541
209,840,439,459,363
210,235,533,384,533
211,261,452,248,236
212,834,425,233,277
213,302,529,307,491
214,132,493,475,292
215,229,698,238,278
216,273,495,363,583
217,248,521,268,461
218,412,520,491,694
219,466,375,319,582
220,10,581,303,225
221,351,457,228,417
222,389,570,440,281
223,890,501,439,624
224,6,451,463,489
225,714,390,319,358
226,233,528,248,612
227,883,483,259,395
228,348,506,312,230
229,747,464,431,340
230,73,598,325,568
231,840,333,402,369
232,367,503,317,733
233,627,400,357,374
234,174,368,351,455
235,514,457,298,308
236,771,494,303,310
237,45,454,376,338
238,959,513,478,715
239,8,635,246,424
240,86,506,458,431
241,952,396,318,580
242,348,470,355,747
243,855,466,481,723
244,834,494,305,472
245,526,579,286,322
246,516,483,358,627
247,325,524,266,593
248,123,423,310,491
249,645,599,352,698
250,486,386,496,644
251,780,532,269,350
252,998,650,491,435
253,748,461,359,570
254,91,652,341,421
255,626,623,416,530
256,749,452,466,323
257,55,576,426,394
258,771,549,288,467
259,179,505,295,281
260,574,430,426,283
261,796,536,315,296
262,345,441,368,501
263,537,416,475,347
264,444,503,321,389
265,273,596,415,649
266,361,490,321,521
267,381,418,481,321
268,727,621,371,640
269,270,549,489,349
270,898,553,414,462
271,488,527,439,652
272,184,554,354,343
273,601,512,295,716
274,710,559,320,331
275,597,439,277,361
276,224,522,402,365
277,342,635,294,741
278,414,565,297,468
279,219,592,377,519
280,874,526,315,441
281,591,497,376,577
282,36,596,404,618
283,895,566,334,320
284,822,538,291,365
285,458,623,491,409
286,589,528,481,492
287,411,558,336,572
288,975,472,365,531
289,346,520,342,543
290,515,419,420,468
291,462,510,460,451
292,453,430,363,507
293,471,472,312,314
294,777,434,358,365
295,327,563,359,654
296,605,534,299,395
297,23,552,339,375
298,77,456,298,467
299,153,452,328,536
300,629,384,417,494
301,307,588,427,515
302,219,614,317,621
303,584,485,317,537
304,662,500,313,419
305,726,557,404,557
306,875,500,319,329
307,580,526,485,372
308,718,419,347,545
309,453,417,431,517
310,100,467,453,705
311,440,619,354,533
312,728,528,494,433
313,237,518,328,652
314,793,513,351,435
315,254,521,367,653
316,996,450,426,515
317,847,470,401,619
318,898,485,450,343
319,220,402,326,724
320,819,541,371,612
321,273,590,443,379
322,581,579,492,506
323,521,465,455,593
324,660,503,377,706
325,988,437,386,680
326,772,441,387,702
327,769,613,340,735
328,246,399,420,700
329,205,449,354,335
330,470,413,412,623
331,307,609,487,624
332,173,452,458,518
333,320,474,494,433
334,924,445,428,397
335,51,626,339,622
336,127,519,453,645
337,444,678,476,655
338,358,464,473,509
339,914,552,362,476
340,639,534,439,414
341,219,480,421,524
342,202,386,462,711
343,273,483,427,545
344,341,433,446,552
345,919,614,483,717
346,923,533,479,545
347,390,484,476,649
348,94,475,389,667
349,145,413,459,384
350,370,363,477,632
351,177,453,373,580
352,951,542,465,618
353,353,610,433,674
354,256,622,357,448
355,200,599,478,730
356,885,472,499,502
357,772,546,478,429
358,810,430,472,721
359,358,446,469,732
360,388,577,481,556
361,271,590,394,481
362,860,520,402,413
363,234,595,416,723
364,540,445,462,461
365,164,388,397,720
366,603,426,378,446
367,755,593,395,526
368,924,497,402,507
369,924,511,474,469
370,117,419,466,503
371,370,524,404,458
372,792,491,470,550
373,327,638,437,489
374,211,618,469,585
375,684,570,474,385
376,229,448,415,686
377,594,483,483,664
378,568,370,477,409
379,132,414,413,455
