"Business","Sector","Revenue"
1,"Agriculture",6915.02680696501
2,"Finance",4075.1246613409
3,"Health",1949.45661976704
4,"Public",3523.5714769392
5,"Agriculture",3846.45493070167
6,"Finance",3393.62118705508
7,"Health",3495.31143446221
8,"Public",1424.36891728923
9,"Agriculture",5762.23689315545
10,"Finance",5433.65203693584
11,"Health",2015.97216607729
12,"Public",3784.91653902736
13,"Agriculture",5775.3771470633
14,"Finance",3598.80632671516
15,"Health",4568.24025664439
16,"Public",5698.58404543845
17,"Agriculture",5121.57049400157
18,"Finance",3849.11202549626
19,"Health",3553.78815367836
20,"Public",3403.94983641597
21,"Agriculture",4726.73784294891
22,"Finance",2135.72430278401
23,"Health",3208.96990923017
24,"Public",2112.4850887902
25,"Agriculture",4739.40402251523
26,"Finance",4264.63358502785
27,"Health",3382.7147337889
28,"Public",5046.3943689517
29,"Agriculture",6059.42504683451
30,"Finance",3728.44194490853
31,"Health",3692.1713770907
32,"Public",5730.00920174613
33,"Agriculture",7260.5113966598
34,"Finance",3788.03005847437
35,"Health",2408.66347052742
36,"Public",3392.22486950836
37,"Agriculture",5434.54401045066
38,"Finance",3883.46352246975
39,"Health",3361.85271488099
40,"Public",4949.46912743052
41,"Agriculture",5082.1293944209
42,"Finance",2502.55368605086
43,"Health",3938.69009014766
44,"Public",3778.30653440993
45,"Agriculture",5914.47550208904
46,"Finance",5582.82365120226
47,"Health",4036.36970037176
48,"Public",2001.13130643736
49,"Agriculture",4925.99170196935
50,"Finance",4144.41353382798
51,"Health",1202.53837309776
52,"Public",4739.68913611926
53,"Agriculture",5924.55751782058
54,"Finance",3653.89951807727
55,"Health",5767.50313638534
56,"Public",4378.3038391332
57,"Agriculture",5277.82376436246
58,"Finance",3992.76752537545
59,"Health",5627.16052255255
60,"Public",3125.96097391044
61,"Agriculture",5642.88366047211
62,"Finance",3856.00650159646
63,"Health",5404.64523492684
64,"Public",3225.26977896343
65,"Agriculture",5153.12224344459
66,"Finance",2710.70200889692
67,"Health",3590.55595128992
68,"Public",4044.49372810854
69,"Agriculture",5846.3100656833
70,"Finance",3846.23110225041
71,"Health",3879.47451603681
72,"Public",2990.31608369297
73,"Agriculture",4465.48057408171
74,"Finance",3531.72226632539
75,"Health",3324.67840265622
76,"Public",4587.92908123512
77,"Agriculture",6647.81237206233
78,"Finance",3280.85387931484
79,"Health",5592.04812519396
80,"Public",4214.21808639619
81,"Agriculture",6259.73464680425
82,"Finance",5358.31224234804
83,"Health",4594.31899583133
84,"Public",5029.5941574629
85,"Agriculture",5364.26256814938
86,"Finance",3855.4628696663
87,"Health",3428.68106783133
88,"Public",2231.45217026365
89,"Agriculture",7419.41166986393
90,"Finance",2521.91152970116
91,"Health",4990.10104206636
92,"Public",3933.56457743243
93,"Agriculture",6257.97378838544
94,"Finance",3378.54651522284
95,"Health",3223.54736656846
96,"Public",4315.3427518344
97,"Agriculture",5036.3063262979
98,"Finance",2843.64478550711
99,"Health",2914.43942346433
100,"Public",1354.38039426756
101,"Agriculture",5199.43749120447
102,"Finance",3787.34251234883
103,"Health",4621.29136227292
104,"Public",3639.97036254823
105,"Agriculture",6952.60272767181
106,"Finance",5217.29920964945
107,"Health",6232.66336129732
108,"Public",3283.51286354576
109,"Agriculture",5428.22340747613
110,"Finance",3927.99486679222
111,"Health",2539.4769453304
112,"Public",2870.72861868757
113,"Agriculture",6465.92355809724
114,"Finance",4519.78260847825
115,"Health",3297.22837622365
116,"Public",4375.88615436022
117,"Agriculture",6865.35618187649
118,"Finance",3971.56714018192
119,"Health",3598.59295737997
120,"Public",3689.12477820382
121,"Agriculture",7338.04952445875
122,"Finance",3697.75076450327
123,"Health",4109.84107406192
124,"Public",3803.39676388342
125,"Agriculture",4506.29164720027
126,"Finance",3158.75625225033
127,"Health",2346.13663879067
128,"Public",3707.35701641835
129,"Agriculture",7167.48765854202
130,"Finance",4539.00781195763
131,"Health",3891.47532958652
132,"Public",4792.64513093978
133,"Agriculture",5078.16202554644
134,"Finance",3846.32080697486
135,"Health",2288.90842133089
136,"Public",4280.26427554561
137,"Agriculture",4223.48261413933
138,"Finance",3726.50995178381
139,"Health",4970.47386178215
140,"Public",2739.13915956774
141,"Agriculture",6421.76558457052
142,"Finance",4131.14693707048
143,"Health",5679.77350757796
144,"Public",4601.61428005119
145,"Agriculture",7052.61385918535
146,"Finance",3461.13995509155
147,"Health",2725.78113211109
148,"Public",3957.07940054375
149,"Agriculture",5339.64714235976
150,"Finance",3080.55098483351
151,"Health",6185.23157821551
152,"Public",4640.27541070024
153,"Agriculture",6430.14728504903
154,"Finance",4226.19778704244
155,"Health",5035.28773717584
156,"Public",3702.70131892159
157,"Agriculture",5921.71452950496
158,"Finance",3260.95598191885
159,"Health",4664.91216480897
160,"Public",3766.64750387933
161,"Agriculture",5242.57925827081
162,"Finance",4318.11907780407
163,"Health",4312.67663876965
164,"Public",5929.58424170173
165,"Agriculture",7211.16802644776
166,"Finance",3771.76826358902
167,"Health",4840.61739560325
168,"Public",3981.88863895165
169,"Agriculture",5474.79609469871
170,"Finance",4378.14249899097
171,"Health",3582.09661649614
172,"Public",2892.64424272767
173,"Agriculture",6511.44319044488
174,"Finance",5444.3434365775
175,"Health",3353.72070415471
176,"Public",4647.03030788494
177,"Agriculture",6918.61552836212
178,"Finance",3582.97221552614
179,"Health",2962.00445403876
180,"Public",4937.95139377865
181,"Agriculture",6377.09154280801
182,"Finance",3748.06308682874
183,"Health",5796.1911860727
184,"Public",4117.4450118999
185,"Agriculture",6951.91497290308
186,"Finance",3576.277350325
187,"Health",1323.91647022659
188,"Public",4813.36958061012
189,"Agriculture",5509.6889156714
190,"Finance",3117.96155498828
191,"Health",2653.02704942494
192,"Public",4522.50390805167
193,"Agriculture",7003.91961990922
194,"Finance",4758.88893765701
195,"Health",4477.7187105813
196,"Public",3533.26979182092
197,"Agriculture",7186.52417846091
198,"Finance",3438.03327889966
199,"Health",4559.41810015028
200,"Public",4114.49991932383
201,"Agriculture",6349.84676419112
202,"Finance",2780.84117950171
203,"Health",4332.62976463278
204,"Public",3672.19822354495
205,"Agriculture",6527.78990167923
206,"Finance",5112.37988289394
207,"Health",3506.52887169437
208,"Public",4644.11938359595
209,"Agriculture",5425.10124315943
210,"Finance",4007.71094888869
211,"Health",4129.2924133518
212,"Public",5043.305214867
